sheet,row_number,requirement_title,requirement_description,office_code_string,anticipated_total_value,procurement_method,contract_type,procurement_instrument,contracting_office_uic,solicitation_fy,solicitation_quarter,award_fy,award_quarter,period_of_performance_months,follow_on_or_new,existing_contract_number,incumbent_contractor,place_of_performance,naics,psc,contracting_poc_name,contracting_poc_contact,secondary_poc_name,secondary_poc_contact,facility_clearance,personnel_clearance,palt_code,sub_palt_code,comments,pid,url
LRAE Annex 25,9,PEO Digital Research & Advisory Services Follow On (C),Placeholder for recompete of current Gartner contract (N0003921F5007),CSBO - Command Strategy and Business Office - NAVWAR,$7.5M - $50M,TBD,TBD,Delivery Order/Task Order,N00039 - NAVWAR,,,FY26,Q4,,,,,"San Diego, CA",541519 - Other Computer Related Services,TBD - TBD,"Agyei-Sarpong, Peter",peter.agyei-sarpong@navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N00039-25-RFPREQ-CSBO-0001,https://ams.navair.navy.mil/procurement/4C7003D9-2E16-4390-B8C1-7D8997AAB06A
LRAE Annex 25,10,Surface Ship Integration Division and Fleet Installation & Response Division Installation Technical and Logistic Support Services (C),"This task order (TO) supports installation technical, engineering, and logistic support services. The scope of this effort will include on site representative support / zone integrator services, alteration installation team manager technical support for both surface and shore platforms, shore modernization Installation Management Office and Regional Shore Installation Management (RSIM) support, systems engineering support and the corresponding logistics support.",LSUBP00057 - LSUBP00057 - FLEET INSTALLATION & READINESS DIV HD - NIWCLANT,$50M - $100M,TBD,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q1,FY23,Q3,,Follow-on,N0017814D7955,"SYSTEMS TECHNOLOGY FORUM, LTD.","Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-22-RFPREQ-LSUBP00057-0001,https://ams.navair.navy.mil/procurement/791CDE5E-1692-41B9-B94D-4A9D22DD9FEB
LRAE Annex 25,11,C4I FMS-LIPTM00214_Multiple Countries- Engineering and Project Management Support-Seaport NXGEN-Base plus 4 option years (C),"This effort will be a follow-on to the TTL task order to provide  PM and Engineering Support to various FMS Cases. To include providing design, engineering, integration, testing, installation, training, PM, acquisition & process improvement and logistic support.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,$7.5M - $50M,TBD,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY24,Q1,,New,N6523618D4801,BOOZ ALLEN HAMILTON INC.,"Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-24-RFPREQ-LSUBP00006-0002,https://ams.navair.navy.mil/procurement/AEDC94EE-3634-429F-8F6D-65D8CF8E3AF1
LRAE Annex 25,12,"LIPTM00426, FIO FSO C4I SMR REPAIR, Chugach Dept SAC, Base + 4 OYs","The purpose of this task order is to provide emergent and rapid response for engineering, diagnostic, technical support services and maintenance repair, non GIC installation support services, and associated integration of C4ISR systems on ashore and afloat units in support of Naval Information Warfare Center (NIWC) to support systems associated with, but not limited to, Surveillance and Video Systems; Tactical Networks; Satellite Communications systems; LOS HF/UHF systems; and Interior Communications",LSUBP00057 - LSUBP00057 - FLEET INSTALLATION & READINESS DIV HD - NIWCLANT,$50M - $100M,,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,Follow-on,N0017815D8134,"CHUGACH INFORMATION TECHNOLOGY, INC.","NORTH CHARLESTON, SC",TBD - TBD,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00057-0167,https://ams.navair.navy.mil/procurement/4BE6850B-A492-4982-B6AC-A88CF53C46B6
LRAE Annex 25,13,LIPTM00241 - USCG IPT - TELEVISION-DIRECT TO SAILORS - (T606 JG) SEWP (C),TELEVISION DIRECT TO SAILORS (TV-DTS) TO BE INSTALLED ONBOARD USCGC CALHOUN.,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q3,,New,,,"Charleston, SC",541519 - Other Computer Related Services,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0010,https://ams.navair.navy.mil/procurement/68BF2517-F5A4-4433-8C02-FFC50491D0F5
LRAE Annex 25,14,LIPTM00241 - USCG - SCIF/ATIP RACKS - (T637 JG) SEWP (C),"72"" Equipment Racks for SCIF and ATIP systems onboard Offshore Patrol Cutters (OPC), USCGC Stratton, and USCGC Calhoun.  New requirement, not procured before.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,No Range Specified,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q2,FY23,Q3,,New,,,"Charleston, SC",541519 - Other Computer Related Services,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0032,https://ams.navair.navy.mil/procurement/229B31F9-8266-47F3-A3F9-98DE60FAC51C
LRAE Annex 25,15,"LIPTM00214, C4I Foreign Military Sales IPT, Satellite Phones,SEWP (C)","The scope of this contract includes the
procurement and delivery of  commercially available off-the-shelf (COTS) equipment
maintenance associated with COTS equipment not available via mandatory sources, renewals for software and hardware licenses/
maintenance not available via mandatory sources, warranties, associated incidental services and all associated documentation
necessary to perform the Naval Information Warfare Center (NIWC) Atlantic mission. The items listed below are considered to be
within scope of the MAC, and have been determined to be commercially available through various re-sellers.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q2,FY23,Q3,,New,,,"NORTH CHARLESTON, SC",541519 - Other Computer Related Services,7 - IT AND TELECOM - INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0040,https://ams.navair.navy.mil/procurement/4CF0DF5E-1AAC-422B-AADA-E1D2279E8E99
LRAE Annex 25,16,Submarine CWITT and SWFTS Modernization (N65236-22-R-0017),"The engineering, technical, logistics, programmatic and administrative services provided under the planned contract are for unique support services for VIRGINIA and COLUMBIA Class Submarine Command, Control, Communications, Computers, Combat Systems and Interoperability (C5I) & Weapons Shipping/Handling/Launcher Integrated Test Team (CWITT) and Submarine Warfare Federated Tactical Systems (SWFTS) Modernization (5 Year Base Period plus a 2 Year Optional Ordering Period)",LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,$250M - $1B,,Cost-Reimbursement,Single-Award Indefinite-Delivery,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,Follow-on,N6523617F3083,,"Charleston, SC",TBD - TBD,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-21-RFPREQ-LSUBP00035-0001,https://ams.navair.navy.mil/procurement/95F57E2D-D484-4936-B159-549AC6087E57
LRAE Annex 25,17,LIPTM00214 - C4I FMS IPT- JAPAN - FMS - JA-P-NCO ASEV,NEW SAC - GLOBAL COMMAND AND CONTROL SYSTEM – MARITIME (GCCS-M) JAPAN HARDWARE SYSTEM PRODUCTION under Base Contract N6523618D8014,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,,,FY23,Q3,,New,,,"Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0024,https://ams.navair.navy.mil/procurement/3AF0E629-0505-4BD0-86DD-5D789155DF51
LRAE Annex 25,18,LIPTM00214 - C4I FMS IPT- TAIWAN_FMS Case TW-P-GOX Engineering - Support and Testing of Multi-Data Link Management System-12 months+1 option - Ultra SAC,"Engineering Support and Testing of Multi-Data Link Management System (MDLMS) for Foreign Military Sales (FMS) Case TW-PGOX. Support encompasses engineering, testing, software development and technical support integrating the Multi-Data Link Management System (MDLMS) with the Taiwan Advanced Tactical Data Link System (TATDLS) and Beyond Line of Site (BLOS) link sites.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q2,FY23,Q3,,Follow-on,N6523620F0873,,"Charleston, SC",334111 - Electronic Computer Manufacturing,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0011,https://ams.navair.navy.mil/procurement/9954B9C1-19EB-47E9-BA00-EB2141776659
