id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2024-06:k:69cd6474df57,need:lrae_navwar_2024-06:k:69cd6474df57,lrae_navwar_2024-06,"Royal Saudi Navy Forces (RSNF) In-Kingdom of Saudi Arabia Support Services for Communications, Computers, Intelligence, Surveillance, and Reconnaissance (C4ISR) Upgrade and Refurbishment. Provide Program Management, Systems Engineering, and Operations and Maintenance (O&M) support services for a portfolio of Kingdom of Saudi Arabia (KSA) Foreign Military Sales (FMS) C4ISR cases.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q4,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row9
req:lrae_navwar_2024-06:k:4dafe38dd3f8,need:lrae_navwar_2024-06:k:4dafe38dd3f8,lrae_navwar_2024-06,"Royal Saudi Navy Forces (RSNF) Communications, Computers, Intelligence, Surveillance, and Reconnaissance (C4ISR) Training Services III.  Provide training services for a portfolio of Kingdom of Saudi Arabia (KSA) Foreign Military Sales (FMS) C4ISR cases",Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q1,FY25,Q4,TBD,541330 - Engineering Services,U008 - EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,"San Diego, CA",ev:lrae_navwar_2024-06:row11
req:lrae_navwar_2024-06:k:32c2012637eb,need:lrae_navwar_2024-06:k:32c2012637eb,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q4,TBD,TBD - TBD,7G20 - IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2024-06:row12
req:lrae_navwar_2024-06:k:56701d2778bf,need:lrae_navwar_2024-06:k:56701d2778bf,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row13
req:lrae_navwar_2024-06:k:4a65a57736d1,need:lrae_navwar_2024-06:k:4a65a57736d1,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row14
req:lrae_navwar_2024-06:k:f6d0582f2520,need:lrae_navwar_2024-06:k:f6d0582f2520,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row15
req:lrae_navwar_2024-06:k:5de9e61f8195,need:lrae_navwar_2024-06:k:5de9e61f8195,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row16
req:lrae_navwar_2024-06:k:d6ba4152bc69,need:lrae_navwar_2024-06:k:d6ba4152bc69,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row17
req:lrae_navwar_2024-06:k:4a89bfc831b9,need:lrae_navwar_2024-06:k:4a89bfc831b9,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row18
req:lrae_navwar_2024-06:k:fed1004fce03,need:lrae_navwar_2024-06:k:fed1004fce03,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY26,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row19
req:lrae_navwar_2024-06:k:2be1c455a1d0,need:lrae_navwar_2024-06:k:2be1c455a1d0,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY26,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row20
req:lrae_navwar_2024-06:k:35bde6be82c7,need:lrae_navwar_2024-06:k:35bde6be82c7,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY26,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row21
req:lrae_navwar_2024-06:k:824356f352e5,need:lrae_navwar_2024-06:k:824356f352e5,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY26,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row22
req:lrae_navwar_2024-06:k:1c423c9fc153,need:lrae_navwar_2024-06:k:1c423c9fc153,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY27,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row23
req:lrae_navwar_2024-06:k:c8b590e4e7ad,need:lrae_navwar_2024-06:k:c8b590e4e7ad,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY27,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row24
req:lrae_navwar_2024-06:k:8ed23773fc1c,need:lrae_navwar_2024-06:k:8ed23773fc1c,lrae_navwar_2024-06,Procurement of ADNS systems and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY28,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row25
